frn,firm_name,obs_date,y,ch_number,status,status_date,n_permissions,client_money,business_type
509547,Calico Asset Management Limited,2021-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2022-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509547,Calico Asset Management Limited,2023-01-01,0,07028142,No longer authorised,17/11/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2016-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2017-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2018-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2019-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2020-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2021-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2022-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509551,Capital Markets Trading UK LLP,2023-01-01,0,OC300617,No longer authorised,29/12/2023,0,,Regulated
509583,Geminit Ltd,2016-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2017-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2018-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2019-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2020-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2021-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2022-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2023-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509583,Geminit Ltd,2024-01-01,0,06234864,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2016-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2017-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2018-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2019-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2020-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2021-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2022-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2023-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509586,PEX Trading (FX) LLP,2024-01-01,0,OC331655,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2016-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2017-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2018-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2019-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2020-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2021-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2022-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2023-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509587,Sat Worldwide Limited,2024-01-01,0,05972151,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2016-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2017-01-01,0,06369426,See full details,01/11/2009,0,,PSD
509607,Polang Europe Limited,2018-01-01,0,06369426,See full details,01/11/2009,0,,PSD
